time,pos,vel,tau
1.000000000000000021e-02,1.028111266889572680e-03,5.611428771257300982e-03,3.972224674716068609e-04
2.000000000000000042e-02,1.133823387057347927e-03,1.550274000755481885e-02,6.608481150429943492e-04
2.999999999999999889e-02,1.353959467415489625e-03,2.847410710026151287e-02,8.596671798607674955e-04
4.000000000000000083e-02,1.714209624552154526e-03,4.350038335070499640e-02,1.005546334179198593e-03
5.000000000000000278e-02,2.232592437448053298e-03,6.007308741045883083e-02,1.130439649254086918e-03
6.000000000000000472e-02,2.936530748422992113e-03,8.057680391992437519e-02,1.409502777436863561e-03
7.000000000000000666e-02,3.863761022795868336e-03,1.046909924772828626e-01,1.682890908189352752e-03
8.000000000000000167e-02,5.019165770465289569e-03,1.261773422547305401e-01,1.595767823745516132e-03
8.999999999999999667e-02,6.405859161649048172e-03,1.509073359402515746e-01,1.874292012852816743e-03
9.999999999999999167e-02,8.054146079469966940e-03,1.784501915149243612e-01,2.142707198991516612e-03
1.099999999999999867e-01,9.989676952067384416e-03,2.083066374281601907e-01,2.398367243514533398e-03
1.199999999999999817e-01,1.223279736193204695e-02,2.399159124555932943e-01,2.638726105799381935e-03
1.299999999999999767e-01,1.479797256132774769e-02,2.726637338418612111e-01,2.861362631345926166e-03
1.399999999999999856e-01,1.769329609770789805e-02,3.058911365107771507e-01,3.064004530314420362e-03
1.499999999999999944e-01,2.092009071900238770e-02,3.389040739076082387e-01,3.244551301218205792e-03
1.600000000000000033e-01,2.447260857691007513e-02,3.709836597314619122e-01,3.401095850787324085e-03
1.700000000000000122e-01,2.833783648693172577e-02,4.013969196105161008e-01,3.531944562090971393e-03
1.800000000000000211e-01,3.249541064888453873e-02,4.294079128832161141e-01,3.635635569027542008e-03
1.900000000000000300e-01,3.691764379537861018e-02,4.542890773117771452e-01,3.710955006366786161e-03
2.000000000000000389e-01,4.156966623499761676e-02,4.753326440244993734e-01,3.756951020723180244e-03
2.100000000000000477e-01,4.640968071107562376e-02,4.918619665190877566e-01,3.772945349157104909e-03
2.200000000000000566e-01,5.138932942789348202e-02,5.032426064043383773e-01,3.758542298435455301e-03
2.300000000000000655e-01,5.645417002798978900e-02,5.088930199171559643e-01,3.713634989053888648e-03
2.400000000000000744e-01,6.154425576298724193e-02,5.082946932644649696e-01,3.638408763405752335e-03
2.500000000000000555e-01,6.659481361270640221e-02,5.010015815503979786e-01,3.533341696165437969e-03
2.600000000000000644e-01,7.153701270009003854e-02,4.866487153874776705e-01,3.399202185917167551e-03
2.700000000000000733e-01,7.629881404795317568e-02,4.649598510553848429e-01,3.237043648899427025e-03
2.800000000000000822e-01,8.080589155048641115e-02,4.357540539285191805e-01,3.048196376825933283e-03
2.900000000000000910e-01,8.498261300649366523e-02,3.989511203887247670e-01,2.834256659350225301e-03
3.000000000000000999e-01,8.875306919620486179e-02,3.545757600220637018e-01,2.597073306161110876e-03
3.100000000000001088e-01,9.196940438701767251e-02,2.882416538852028420e-01,1.463269935313691195e-03
3.200000000000001177e-01,9.441405197000886373e-02,2.003877954317768162e-01,3.081689658215932149e-04
3.300000000000001266e-01,9.589980298436782957e-02,9.663601298865689970e-02,-5.681276277756713757e-04
3.400000000000001354e-01,9.628144488150511271e-02,-2.023988845560086014e-02,-1.344392593803081168e-03
3.500000000000001443e-01,9.543640312887527455e-02,-1.484886088037358221e-01,-2.088849386019966687e-03
3.600000000000001532e-01,9.325892681729143485e-02,-2.864992320421090310e-01,-2.815935423790099680e-03
3.700000000000001621e-01,8.965989566316245885e-02,-4.325592790766163986e-01,-3.524639642776948838e-03
3.800000000000001710e-01,8.456802737679086635e-02,-5.848165943490057916e-01,-4.210640644487068616e-03
3.900000000000001799e-01,7.793121192076701842e-02,-7.412920601242484198e-01,-4.869273418777025561e-03
4.000000000000001887e-01,6.971767527184534463e-02,-8.999009611050325930e-01,-5.495974898665736269e-03
4.100000000000001976e-01,5.991693233017354736e-02,-1.058473773980532773e+00,-6.086182996726878860e-03
4.200000000000002065e-01,4.854053999001824160e-02,-1.214775330310101875e+00,-6.635178220253694012e-03
4.300000000000002154e-01,3.562266452427681473e-02,-1.366522773207800023e+00,-7.137956352812441577e-03
4.400000000000002243e-01,2.122047335421389791e-02,-1.511402700592755055e+00,-7.589131945995898632e-03
4.500000000000002331e-01,5.414358521021230691e-03,-1.647087651056770019e+00,-7.982860760591481766e-03
4.600000000000002420e-01,-1.169200150030045085e-02,-1.771251910252359618e+00,-8.312773431501531418e-03
4.700000000000002509e-01,-2.997173445247688570e-02,-1.881586549220239712e+00,-8.571919618915679884e-03
4.800000000000002598e-01,-4.927501376590387450e-02,-1.975813692841203117e+00,-8.752731059584612991e-03
4.900000000000002687e-01,-6.942943877665411212e-02,-2.051700336714413098e+00,-8.847025616067087650e-03
5.000000000000002220e-01,-9.024055622734526716e-02,-2.107072716341530594e+00,-8.846095914724410800e-03
5.100000000000002309e-01,-1.114925397318211886e-01,-2.139833454134037360e+00,-8.740958058796781741e-03
5.200000000000002398e-01,-1.329490755485517040e-01,-2.147985589445846610e+00,-8.522875690195712284e-03
5.300000000000002487e-01,-1.543545558039216836e-01,-2.129669940474300471e+00,-8.184303791381124238e-03
5.400000000000002576e-01,-1.754357534506933158e-01,-2.083223970728590668e+00,-7.720361700273647466e-03
